Date,State,Town,Longitude,Latitude,Sighting
05/11/24,IL,Aurora,-88.2,41.8,15
05/11/24,IL,Aurora,-88.2,41.8,15
05/11/24,MI,Vicksburg,-85.5,42.1,2
05/11/24,TX,Driftwood,-98,30.1,5
05/11/24,IL,Fairbury,-88.5,40.8,1
05/10/24,TN,Ooltewah,-85.1,35.1,5
05/10/24,TX,Driftwood,-98,30.1,11
05/08/24,IL,Peoria,-89.6,40.8,33
05/08/24,VA,Seaford,-76.4,37.2,3
05/08/24,MN,Mankato,-94,44.2,3
05/08/24,IL,Peoria,-89.6,40.8,33
05/07/24,TX,Gatesville,-97.7,31.3,1
05/07/24,TX,Spring,-95.6,30,5
05/05/24,IL,Aurora,-88.3,41.7,7
05/04/24,GA,Atlanta,-84.3,33.8,15
05/04/24,NJ,Hamilton,-74.7,39.5,10
05/03/24,PA,Conestoga,-76.3,39.9,1
05/02/24,FL,Miami,-80.2,25.7,1
05/02/24,OK,Mounds,-95.9,35.9,7
05/01/24,TX,Flat,-97.6,31.2,3
04/29/24,OK,Mounds,-95.9,35.9,4
04/28/24,NC,Wake Forest,-78.6,36,97
04/28/24,NC,Wake Forest,-78.6,36,97
04/28/24,NC,Asheville,-82.5,35.6,14
04/18/24,GA,Decatur,-84.3,33.8,28
04/18/24,TX,Taylor,-97.5,30.6,17
04/17/24,TX,Rockport,-97,28.2,1
04/15/24,TX,Terrell,-96.3,32.8,2
04/14/24,FL,Lighthouse Point,-80.1,26.3,1
04/13/24,TX,Montgomery,-95.8,30.4,67
04/13/24,MO,Springfield,-93.3,37.2,15
04/11/24,TX,Middle Crossing,-97.8,31.3,1
04/09/24,FL,Miami,-80.2,25.7,5
04/08/24,TX,Taylor,-97.5,30.6,8
04/05/24,TX,Mesquite,-96.6,32.7,1
04/04/24,FL,Miami,-80.2,25.7,4
04/03/24,OK,Tulsa,-96,36.2,5
04/02/24,OK,Broken Arrow,-95.9,35.9,7
04/01/24,LA,Patterson,-91.3,29.7,10
03/31/24,TX,Seguin,-98,29.5,59
03/30/24,TX,Pecan Plantation,-97.7,32.3,10
03/29/24,TX,Forney,-96.4,32.8,6
03/29/24,TX,Mesquite,-96.6,32.8,2
03/28/24,CA,Long Beach,-118.2,33.8,1
03/28/24,TX,Rockport,-97,28.2,17
03/28/24,TX,Boerne,-98.7,29.8,37
03/27/24,TX,Forney,-96.4,32.7,3
03/27/24,LA,Lafayette,-92,30.1,8
03/23/24,TX,Forney,-96.5,32.7,4
03/22/24,TX,Forney,-96.4,32.7,12
03/21/24,OR,Portland,-122.7,45.5,55
03/20/24,TX,Forney,-96.4,32.7,4
03/20/24,TX,Montgomery,-95.8,30.4,213
